Datum,Kalorien (kcal),Distanz (m),Durchschnittliche Herzfrequenz (bpm),Maximale Herzfrequenz (bpm),Minimale Herzfrequenz (bpm),Minimaler Breitengrad (Grad),Minimaler Längengrad (Grad),Maximaler Breitengrad (Grad),Maximaler Längengrad (Grad),Durchschnittsgeschwindigkeit (m/s),Maximale Geschwindigkeit (m/s),Minimale Geschwindigkeit (m/s),Schrittzahl,Durchschnittsgewicht (kg),Maximales Gewicht (kg),Minimales Gewicht (kg),Radfahren – Dauer (ms),Inaktiv – Dauer (ms),Gehen – Dauer (ms),Laufen – Dauer (ms),Leichter Schlaf – Dauer (ms),Tiefer Schlaf – Dauer (ms),Wachphase beim Schlafen – Dauer (ms)
2015-04-13,,1043.0,,,,46.94762420654297,7.434874534606934,47.309722900390625,7.907805442810059,,,,4375,,,,,77941748,1989021,75038,,,
2015-04-14,,964.0,,,,46.947139739990234,7.434839725494385,47.309139251708984,7.908868789672852,,,,6580,,,,,78056428,3251254,147939,,,
2015-04-15,,1482.0,,,,46.94709777832031,7.434865474700928,47.309139251708984,7.904524326324463,,,,6411,,,,,77874953,2879369,,,,
2015-04-16,,2302.0,,,,46.94721984863281,7.434856414794922,47.3118896484375,7.920279026031494,,,,6119,,,,,78239366,2440144,,,,
2015-04-17,,557.0,,,,46.94715881347656,7.429103851318359,47.3094367980957,7.903417110443115,,,,4483,,,,,79070233,2068523,202874,,,
2015-04-18,,,,,,47.30390930175781,7.877378463745117,47.312686920166016,7.9300665855407715,,,,2247,,,,,78258693,1113963,,,,
2015-04-19,,,,,,46.99082565307617,7.8776044845581055,47.31489562988281,8.617599487304688,,,,1180,,,,,75662012,209971,,,,
2015-04-20,,850.0,,,,46.947574615478516,7.434823513031006,47.309410095214844,7.903239727020264,,,,5048,,,,,79398880,2141886,,,,
2015-04-21,,1120.0,,,,46.947166442871094,7.434876918792725,47.309181213378906,7.941401481628418,,,,5421,,,,,76885262,2743897,,,,
2015-04-22,,866.0,,,,46.947261810302734,7.434874057769775,47.31169509887695,7.919436931610107,,,,5266,,,,,78830393,2005094,,,,
2015-04-23,,903.0,,,,46.94729995727539,7.434844970703125,47.31254959106445,7.921227931976318,,,,4307,,,,,79138632,2346522,,,,
2015-04-24,,1144.0,,,,46.94711685180664,7.434867858886719,47.48524856567383,8.172402381896973,,,,3683,,,,,77524468,1973983,,,,
2015-04-25,,,,,,47.4503288269043,8.083526611328125,47.492462158203125,8.315496444702148,,,,1730,,,,,79208576,339150,,,,
2015-04-26,,,,,,47.30427932739258,7.877117156982422,47.477657318115234,8.23230266571045,,,,629,,,,,83873410,259502,,,,
2015-04-27,,1237.0,,,,46.94728088378906,7.434896469116211,47.312469482421875,8.310173988342285,,,,6193,,,,,79250133,2436934,,,,
2015-04-28,,87.0,,,,47.279476165771484,7.878519058227539,47.3929557800293,8.083133697509766,,,,4051,,,,,76359470,891287,,,,
2015-04-29,,3004.0,,,,46.947120666503906,7.434876441955566,47.312374114990234,7.920358657836914,,,,9075,,,,,76380725,3407138,60985,,,
2015-04-30,,961.0,,,,46.947086334228516,7.43479061126709,47.31230545043945,7.920018196105957,,,,6615,,,,,77590995,2944210,,,,
2015-05-01,,1073.0,,,,46.94729232788086,7.434885501861572,47.3122673034668,7.919836521148682,,,,4567,,,,,79333296,1591309,,,,
2015-05-02,,548.0,,,,47.261573791503906,7.8020453453063965,47.32313537597656,7.91967248916626,,,,3213,,,,,78641284,1480733,,,,
2015-05-03,,,,,,47.30427169799805,7.879701614379883,47.31188201904297,7.919570446014404,,,,383,,,,,86302603,,,,,
2015-05-04,,596.0,,,,46.94712448120117,7.434867858886719,47.306522369384766,7.88063907623291,,,,6617,,,,,78290453,2742071,122480,,,
2015-05-05,,1133.0,,,,46.947288513183594,7.434845924377441,47.31281280517578,7.9414143562316895,,,,5950,,,,,76717766,2815033,,,,
2015-05-06,,406.0,,,,46.947303771972656,7.434849739074707,47.30637741088867,7.880908489227295,,,,5115,,,,,78839240,1861463,63404,,,
2015-05-07,,771.0,,,,46.94713592529297,7.434832572937012,47.31187057495117,7.919267654418945,,,,6967,,,,,76745766,3222178,,,,
2015-05-08,,951.0,,,,47.29794692993164,7.876805305480957,47.392127990722656,8.084795951843262,,,,5914,,,,,77984550,2549240,,,,
2015-05-09,,3511.0,,,,47.304195404052734,7.588105201721191,47.56122970581055,7.918822765350342,,,,9559,,,,,72345444,4657144,,,,
2015-05-10,,,,,,47.30401611328125,7.877546310424805,47.30498504638672,7.880886077880859,,,,504,,,,,86400000,,,,,
2015-05-11,553.5069580078125,748.0,,,,46.94729995727539,7.434872150421143,47.306514739990234,7.880897521972656,,,,5212,,,,,78733593,1998568,233421,,,
2015-05-12,1923.70263671875,3020.027099609375,,,,46.194175720214844,7.42738676071167,47.31156921386719,8.173998832702637,,,,7652,,,,,61020669,3052442,,,,
2015-05-13,1924.3287353515625,1791.006591796875,,,,46.19108581542969,7.3789520263671875,47.3046875,8.12841796875,,,,4638,,,,,61928736,2513872,,,,
2015-05-14,1816.5947265625,241.56329345703125,,,,47.155418395996094,7.1841583251953125,47.31886291503906,7.902472496032715,,,,871,,,,,79445063,299671,,,,
2015-05-15,1961.7449951171875,3097.335693359375,,,,46.94713592529297,7.434796333312988,47.47688293457031,8.173545837402344,,,,5801,,,,,75964874,2833050,,,,
2015-05-16,1812.673828125,221.19760131835938,,,,47.47313690185547,8.028653144836426,47.50349807739258,8.085396766662598,0.75881028175354,0.91678786277771,0.6008327603340149,809,,,,,84498610,358510,,,,
2015-05-17,1795.287353515625,,,,,47.30387496948242,7.87809944152832,47.47586441040039,8.243147850036621,1.8679667711257935,1.8679667711257935,1.8679667711257935,659,,,,,83242101,,,,,
2015-05-18,1907.0615234375,1805.8297119140625,,,,46.94731521606445,7.434803009033203,47.30659103393555,7.880858421325684,0.5882176756858826,0.5882176756858826,0.5882176756858826,4708,,,,,79358888,1922660,,,,
2015-05-19,1951.755615234375,2227.744140625,,,,46.94731521606445,7.4348273277282715,47.30654525756836,7.880829334259033,1.257513403892517,1.3761178255081177,1.045466423034668,6292,,,,,78917359,2265100,146306,,,
2015-05-20,1910.866455078125,2085.682373046875,,,,46.94729232788086,7.328297138214111,47.30971908569336,7.893374443054199,1.409112811088562,2.027658700942993,0.504777193069458,5013,,,,,77668376,2201199,,,,
2015-05-21,2522.6865234375,7250.0087890625,,,,47.30377197265625,7.8781657218933105,47.31303787231445,7.9348015785217285,2.7441115379333496,7.266615390777588,0.5323532819747925,15739,,,,2880090,64704722,9298862,,,,
2015-05-22,2033.0224609375,5748.34130859375,,,,47.303958892822266,7.878204345703125,47.30661392211914,7.892498970031738,2.075605630874634,6.355249881744385,0.5096076726913452,8649,,,,977616,63283703,5299853,,,,
2015-05-23,1902.125,3879.1162109375,,,,47.29832458496094,7.873690605163574,47.325260162353516,7.919745445251465,8.075423240661621,19.740009307861328,1.3401492834091187,10869,,,,,74058137,4262626,,,,
2015-05-24,1842.124267578125,913.79345703125,,,,46.66233825683594,7.413164138793945,47.31221389770508,8.31374740600586,14.259183883666992,32.610740661621094,0.5656854510307312,2329,,,,,71319499,951139,,,,
2015-05-25,1804.475341796875,40.0,,,,47.30409240722656,7.879816055297852,47.30510330200195,7.881222248077393,1.625053882598877,1.625053882598877,1.625053882598877,779,,,,,86323280,76720,,,,
2015-05-26,2065.819091796875,5020.85888671875,,,,47.279422760009766,7.87633752822876,47.46266555786133,8.559822082519531,0.7377477884292603,0.8570297360420227,0.6184658408164978,9861,,,,,72737523,4795230,,,,
2015-05-27,1935.564697265625,2153.545166015625,,,,46.94731521606445,7.434664726257324,47.3065071105957,7.880489349365234,1.3482075929641724,2.110924005508423,0.5854912400245667,4491,,,,,79328379,1993488,150798,,,
2015-05-28,1974.421875,3056.238525390625,,,,46.9471321105957,7.432664394378662,47.30630874633789,7.892397403717041,1.0499999523162842,1.0499999523162842,1.0499999523162842,5782,,,,,78200856,3041942,,,,
2015-05-29,1935.2923583984375,3176.668212890625,,,,46.947330474853516,7.434812545776367,47.31185531616211,7.914522171020508,0.9200000166893005,0.9200000166893005,0.9200000166893005,7640,,,,,73670597,3343276,,,,
2015-05-30,1804.1439208984375,18.0,,,,47.30427169799805,7.879770755767822,47.30448532104492,7.879992961883545,1.0475200414657593,1.3238202333450317,0.5173973441123962,361,,,,,86328959,71041,,,,
2015-05-31,1802.1593017578125,20.87887954711914,,,,47.30419158935547,7.879495620727539,47.30451965332031,7.880063056945801,0.9610320925712585,2.449510097503662,0.62641841173172,1323,,,,,86362986,37014,,,,
2015-06-01,1926.326416015625,1931.5216064453125,,,,46.94723129272461,7.434861183166504,47.30644989013672,7.880987644195557,2.9123082160949707,4.462028503417969,0.9767292737960815,6185,,,,,77965044,2277443,,,,
2015-06-02,1946.865478515625,2579.749267578125,,,,46.94728088378906,7.434810161590576,47.30656051635742,7.88096809387207,1.5307505130767822,1.7300000190734863,0.5544366240501404,6084,,,,,79540261,2705963,,,,
2015-06-03,1958.78271484375,2661.54736328125,,,,46.947113037109375,7.4348344802856445,47.306434631347656,7.88107442855835,0.8151537179946899,1.6172198057174683,0.6800000071525574,6630,,,,,77392412,2880277,,,,
2015-06-04,1923.791748046875,2073.62744140625,,,,46.947208404541016,7.434699058532715,47.308868408203125,7.903677463531494,1.3821322917938232,1.7406320571899414,0.646219789981842,4330,,,,,79358659,2168667,,,,
2015-06-05,1915.2568359375,2043.2337646484375,,,,46.947059631347656,7.43481969833374,47.30650329589844,7.880876064300537,1.527969241142273,2.0080835819244385,1.0478549003601074,4253,,,,,79319205,1975833,,,,
2015-06-06,1800.0,,,,,47.3041877746582,7.879654407501221,47.3052978515625,7.880300045013428,0.9017467498779297,1.1915117502212524,0.5346026420593262,1143,,,,,86400000,,,,,
